observation_label,StatementsCount,LocationsCount,OrganizationsCount,PercentagesCount,PersonsCount,CharacterCount,WordsCount,DigitsCount,FirstPersonSingularPronounsCount,FirstPersonPluralPronounsCount,FirstPersonPronounsCount,SecondPersonSingularPronounsCount,SecondersonPluralPronounsCount,SecondersonPronounsCount,ThirdPersonSingularPronounsCount,ThirdPersonPluralPronounsCount,SecondersonPronounsCount.1,PossessivePronounsCount,PunctuationsCount,POS_CC,POS_CD,POS_DT,POS_EX,POS_FW,POS_IN,POS_JJ,POS_JJR,POS_JJS,POS_LS,POS_MD,POS_NN,POS_NNS,POS_NNP,POS_NNPS,POS_PDT,POS_POS,POS_PRP,POS_PRP_,POS_RB,POS_RBR,POS_RBS,POS_RP,POS_SYM,POS_TO,POS_UH,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,POS_WDT,POS_WP,POS_WP_,POS_WRB,NumbersCount,SyllablesCount,ComplexWordsCount,MeasurementsCount,SymbolsCount,WrongWordsCount,SMOGReadabilityIndex,SMOGReadability,GunningFogIndex,FleschReadabilityIndex,FleschKincaidReadabilityIndex,ColemanLiauIndex,AutomatedReadabilityIndex,AdditionTransitionWordsCount,IntroductionTransitionWordsCount,ReferenceTransitionWordsCount,SimilarityTransitionWordsCount,IdentificationTransitionWordsCount,ClarificationTransitionWordsCount,AdditiveTransitionWordsCount,ConflictTransitionWordsCount,EmphasisTransitionWordsCount,ConcessionTransitionWordsCount,DismissalTransitionWordsCount,ReplacementTransitionWordsCount,AdversativeTransitionWordsCount,CausalAndReasonTransitionWordsCount,ConditionTransitionWordsCount,EffectAndResultTransitionWordsCount,PurposeTransitionWordsCount,ConsequenceTransitionWordsCount,CausalTransitionWordsCount,NumericalTransitionWordsCount,ContinuationTransitionWordsCount,ConclusionTransitionWordsCount,DigressionTransitionWordsCount,ResumptionTransitionWordsCount,SummationTransitionWordsCount,SequentialTransitionWordsCount,AvarageWrodsLength,AvarageStatementsLength,AvarageSyllablesCount,AdditiveTransitionWordsToWrodsPCT,AdversativeTransitionWordsToWrodsPCT,CausalTransitionWordsToWrodsPCT,SequentialTransitionWordsToWrodsPCT,WrongWordsToTotalWrodsPCT
deception,6,0,0,0,0,441,126,0,2,0,2,2,2,2,2,0,2,2,12,8,0,11,0,0,12,9,0,0,0,1,16,4,0,0,0,0,11,2,11,0,0,1,0,0,0,4,8,1,2,2,1,0,0,0,4,0,140,7,0,12,15,8.842,8.477,8.4,79.729,5.901,7.705,5.737,3,1,0,0,0,1,5,1,0,0,0,0,1,2,0,1,1,0,3,0,0,1,0,0,2,3,3.5,21,1.111111111,3.968253968,0.793650794,2.380952381,2.380952381,11.9047619
deception,14,0,0,0,0,666,191,2,0,0,0,2,2,0,0,0,0,1,16,3,2,20,0,3,19,8,0,1,0,3,22,10,0,0,0,0,12,1,13,0,0,2,0,1,0,6,13,4,2,9,1,1,1,0,3,0,207,8,0,18,23,7.301,7,6,85.936,3.906,6.871,3.599,3,2,0,0,0,0,5,0,0,0,0,1,1,2,1,1,1,0,4,0,0,1,0,0,1,2,3.486910995,13.64285714,1.083769634,2.617801047,0.523560209,2.094240838,1.047120419,12.04188482
deception,5,0,0,0,0,731,169,4,2,0,2,2,2,2,2,0,2,0,12,2,1,17,0,0,27,19,0,0,0,2,32,10,0,0,0,0,3,2,11,0,1,0,0,1,0,4,1,6,3,2,6,1,0,0,0,0,249,24,0,13,17,15.645,15,18,36.676,15.646,12.714,16.471,2,1,0,0,0,0,3,1,0,1,0,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,4.325443787,33.8,1.473372781,1.775147929,1.183431953,1.775147929,0,10.0591716
deception,12,0,0,0,0,848,236,0,1,11,12,0,0,12,1,11,12,5,19,3,3,15,1,0,29,9,0,1,0,5,34,10,1,0,0,1,17,5,20,0,0,0,0,9,0,12,16,4,5,3,0,0,1,0,0,0,275,19,0,20,28,10.317,9.892,10,72.076,7.285,8.554,7.053,2,1,0,0,0,0,3,1,0,3,0,1,5,3,1,2,1,1,7,0,3,1,0,0,2,6,3.593220339,19.66666667,1.165254237,1.271186441,2.118644068,2.966101695,2.542372881,11.86440678
deception,6,0,0,0,0,495,140,0,2,0,2,4,4,2,2,0,2,1,8,5,2,13,1,0,18,11,0,0,0,4,25,5,1,0,0,0,7,2,4,0,0,1,0,2,0,7,0,2,1,5,7,1,1,0,1,0,164,8,0,8,14,9.236,8.855,9.6,78.451,6.789,6.339,6.074,1,2,0,0,1,1,4,1,0,0,0,0,1,2,1,0,0,0,3,0,1,0,0,0,0,1,3.535714286,23.33333333,1.171428571,2.857142857,0.714285714,2.142857143,0.714285714,10
deception,10,0,0,0,0,540,155,0,2,6,8,1,1,8,2,6,8,1,10,3,0,19,0,0,18,6,1,0,0,2,22,4,0,0,0,0,12,1,12,0,0,1,0,3,0,5,12,2,5,2,2,0,3,0,0,0,179,9,0,10,11,8.549,8.196,7.6,80.224,5.399,5.936,4.251,2,2,0,0,0,0,4,1,0,0,0,0,1,2,1,0,0,0,3,2,0,0,0,0,0,2,3.483870968,15.5,1.15483871,2.580645161,0.64516129,1.935483871,1.290322581,7.096774194
deception,13,0,0,0,0,991,270,9,5,0,5,3,3,5,5,0,5,2,24,4,4,28,0,4,33,20,1,0,0,3,45,3,0,0,0,0,17,3,17,0,0,2,0,5,0,9,13,4,4,4,5,1,2,0,2,3,333,29,0,25,33,11.072,10.616,10.8,68.786,7.474,8.578,6.531,5,3,0,0,0,0,8,2,0,3,0,0,5,3,0,1,0,1,5,1,2,0,0,0,1,4,3.67037037,20.76923077,1.233333333,2.962962963,1.851851852,1.851851852,1.481481481,12.22222222
deception,25,0,0,0,0,1684,487,2,12,1,13,0,0,13,12,1,13,7,48,13,4,43,1,3,34,29,0,0,0,9,59,18,0,0,1,0,38,7,31,0,0,0,0,17,2,26,43,5,16,3,1,3,2,0,5,1,529,26,0,49,60,8.955,8.586,8.8,80.58,6.074,7.511,6.17,5,2,0,0,0,0,7,2,0,1,0,0,3,2,0,1,1,1,4,1,2,1,0,0,2,6,3.457905544,19.48,1.0862423,1.437371663,0.616016427,0.821355236,1.232032854,12.32032854
deception,8,0,0,0,0,554,157,0,2,5,7,0,0,7,2,5,7,2,11,6,2,16,0,0,14,7,0,0,0,1,30,2,0,0,0,0,10,2,15,0,0,2,0,4,0,3,18,1,5,0,0,0,0,0,0,0,186,10,0,11,11,9.151,8.774,8.8,77.246,6.294,6.845,5.145,3,2,0,0,0,0,5,0,0,1,0,0,1,2,0,1,1,0,3,0,0,0,0,0,1,1,3.52866242,19.625,1.184713376,3.184713376,0.636942675,1.910828025,0.636942675,7.006369427
deception,16,0,0,0,0,1112,301,3,6,0,6,0,0,6,6,0,6,3,24,11,2,33,1,1,30,20,0,0,0,0,48,6,0,0,1,0,16,3,12,2,0,2,0,9,0,9,33,2,13,0,1,2,0,0,3,2,352,19,0,30,37,9.559,9.164,9.6,74.332,7.181,8.488,7.425,4,2,0,0,0,0,6,2,0,1,0,0,3,2,0,1,1,0,3,0,0,0,0,0,1,1,3.694352159,18.8125,1.169435216,1.993355482,0.996677741,0.996677741,0.332225914,12.2923588
deception,24,0,0,0,0,2353,661,13,25,0,25,0,0,25,25,0,25,12,59,34,15,62,0,3,59,26,3,0,0,6,96,15,2,0,0,1,52,13,35,0,0,6,0,23,0,20,69,14,12,0,0,1,3,0,3,0,786,44,0,68,78,10.29,9.866,10.8,69.514,8.621,7.514,8.192,3,2,0,0,0,0,5,1,0,0,0,1,2,2,1,1,1,1,5,0,2,0,0,0,2,4,3.559757943,27.54166667,1.189107413,0.756429652,0.302571861,0.756429652,0.605143722,11.80030257
deception,12,0,0,0,0,932,249,4,6,14,20,2,2,20,6,14,20,4,16,10,2,20,2,0,24,19,1,0,0,4,36,5,0,0,0,0,22,6,19,0,0,2,0,5,0,11,20,3,1,3,1,0,1,0,4,1,298,19,0,18,26,10.035,9.622,9.6,73.714,7.125,8.497,7.145,5,1,0,0,0,0,6,3,0,1,0,0,4,2,0,1,1,1,4,2,3,1,0,0,2,8,3.742971888,20.75,1.196787149,2.409638554,1.606425703,1.606425703,3.212851406,10.44176707
deception,10,0,0,0,0,745,210,0,3,6,9,0,0,9,3,6,9,5,18,3,0,23,2,0,23,9,0,0,0,4,33,4,0,0,0,0,14,6,9,1,1,2,0,6,0,8,18,2,8,2,2,0,0,0,2,0,254,21,0,18,25,11.408,10.937,11.6,70.294,7.976,7.31,6.95,2,1,0,0,0,0,3,3,0,2,0,0,5,3,1,3,2,0,8,0,1,0,0,0,2,3,3.547619048,21,1.20952381,1.428571429,2.380952381,3.80952381,1.428571429,11.9047619
deception,18,0,0,0,0,1583,424,0,3,0,3,3,3,3,3,0,3,8,43,10,1,36,0,3,51,23,0,1,0,9,66,10,1,0,0,3,31,11,18,0,0,2,0,7,0,16,25,7,17,10,1,2,0,0,2,0,527,42,0,46,56,11.855,11.367,12,62.401,9.51,9.172,9.311,3,2,0,0,0,0,5,3,0,3,0,0,6,3,1,2,2,0,7,1,2,0,0,0,1,4,3.733490566,23.55555556,1.242924528,1.179245283,1.41509434,1.650943396,0.943396226,13.20754717
deception,9,0,0,0,0,675,179,0,3,0,3,0,0,3,3,0,3,3,13,6,1,16,0,1,19,7,0,1,0,1,25,6,0,0,0,0,9,4,17,0,0,0,0,6,0,6,15,8,4,2,0,1,0,0,2,0,237,19,0,13,16,11.004,10.55,10.8,63.191,8.346,8.523,6.67,2,2,0,0,0,0,4,2,0,2,0,1,5,2,1,2,1,0,5,0,1,0,0,0,1,2,3.770949721,19.88888889,1.324022346,2.234636872,2.793296089,2.793296089,1.117318436,8.938547486
deception,11,0,0,0,0,694,206,6,4,0,4,0,0,4,4,0,4,1,24,6,3,21,3,2,16,10,0,0,0,3,29,4,0,0,0,0,15,1,10,0,0,0,0,4,0,9,18,3,2,2,2,0,2,0,3,0,229,15,0,25,35,9.042,8.669,8,77.458,5.383,6.974,4.273,3,2,0,0,0,1,6,2,0,2,0,0,4,2,1,1,1,0,4,0,0,0,0,0,1,1,3.368932039,18.72727273,1.111650485,2.912621359,1.941747573,1.941747573,0.485436893,16.99029126
deception,8,0,0,0,0,422,117,0,0,6,6,0,0,6,0,6,6,3,10,5,0,12,1,0,12,6,0,0,0,0,19,4,0,0,0,0,5,3,5,0,0,1,0,3,0,4,11,3,3,0,0,0,1,0,1,0,145,13,0,10,9,9.995,9.583,9.6,71.761,5.983,7.307,4.147,3,2,0,0,0,0,5,0,0,0,0,0,0,2,1,1,1,0,4,0,0,0,0,0,1,1,3.606837607,14.625,1.239316239,4.273504274,0,3.418803419,0.854700855,7.692307692
deception,16,0,0,0,0,1200,314,0,1,14,15,5,5,15,1,14,15,7,27,8,1,39,0,0,26,28,2,1,0,5,46,12,0,0,0,1,14,6,23,0,0,1,0,5,0,9,19,5,6,3,4,3,0,0,2,0,398,29,0,28,37,10.59,10.154,10,65.197,8.082,9.573,7.542,4,1,0,0,0,0,5,2,0,6,0,0,8,2,2,1,1,0,5,1,1,0,0,0,3,4,3.821656051,19.625,1.267515924,1.592356688,2.547770701,1.592356688,1.27388535,11.78343949
deception,5,0,0,0,0,499,136,0,2,0,2,1,1,2,2,0,2,1,10,6,2,16,0,0,15,8,1,0,0,2,16,6,0,0,0,0,5,1,11,0,0,1,0,3,0,5,13,3,2,1,2,1,1,0,0,0,161,9,0,11,13,10.794,10.348,12.4,69.705,9.549,7.49,10.094,3,2,0,0,0,0,5,1,0,1,0,0,2,2,0,1,1,0,3,1,1,0,0,0,1,3,3.669117647,27.2,1.183823529,3.676470588,1.470588235,2.205882353,2.205882353,9.558823529
deception,9,0,0,0,0,820,239,0,4,0,4,0,0,4,4,0,4,2,27,9,4,22,0,1,18,10,0,1,0,2,36,7,0,0,0,0,17,2,20,0,0,3,0,8,0,9,20,4,5,2,2,0,0,0,1,0,267,12,0,31,23,8.618,8.262,8,79.241,6.067,7.11,5.459,2,1,0,0,0,0,3,0,0,1,0,0,1,2,0,1,1,0,3,0,0,1,0,0,1,2,3.430962343,26.55555556,1.117154812,1.255230126,0.418410042,1.255230126,0.836820084,9.623430962
deception,3,0,0,0,0,162,39,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0,3,2,0,0,0,2,3,3,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,3,0,2,2,0,0,0,0,0,53,6,0,4,4,11.208,10.746,11.2,55.89,8.114,12.018,7.748,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.153846154,13,1.358974359,2.564102564,2.564102564,0,0,10.25641026
deception,4,0,0,0,0,401,108,0,4,0,4,0,0,4,4,0,4,3,10,3,1,6,0,0,12,7,0,1,0,1,12,5,0,0,0,0,11,3,9,0,0,0,0,3,0,3,11,0,5,1,0,0,0,0,0,0,137,10,0,10,14,10.504,10.071,10,66.477,7.838,8.597,6.629,4,1,0,0,0,0,5,1,0,0,0,0,1,2,0,1,1,0,3,0,1,0,0,0,1,2,3.712962963,27,1.268518519,4.62962963,0.925925926,2.777777778,1.851851852,12.96296296
deception,18,0,0,0,0,1309,361,0,6,0,6,0,0,6,6,0,6,12,42,14,0,26,1,3,33,23,0,0,0,6,47,12,0,0,0,1,21,14,28,0,0,0,0,8,0,12,29,4,11,4,0,0,0,0,4,0,437,34,0,45,49,10.981,10.528,10.8,66.329,8.134,8.986,7.496,4,2,0,0,0,0,6,2,0,2,0,0,4,2,0,1,1,0,3,1,1,0,0,0,1,3,3.626038781,20.05555556,1.210526316,1.662049861,1.108033241,0.831024931,0.831024931,13.5734072
deception,14,0,0,0,0,1165,312,3,7,0,7,3,3,7,7,0,7,4,38,11,2,28,0,1,34,22,0,0,0,4,49,7,0,0,0,0,17,6,25,0,0,2,0,4,0,12,14,2,6,4,4,2,3,0,1,1,388,29,0,38,48,11.662,11.181,12.4,60.286,9.819,9.592,9.674,3,2,0,0,0,0,5,2,0,1,0,0,3,3,1,2,1,1,7,0,1,0,0,0,2,3,3.733974359,22.28571429,1.243589744,1.602564103,0.961538462,2.243589744,0.961538462,15.38461538
deception,5,0,0,0,0,346,85,0,0,0,0,2,2,0,0,0,0,0,5,4,0,11,1,0,8,5,0,1,0,2,9,7,0,0,0,0,3,1,10,0,0,0,0,1,0,4,3,1,0,2,1,0,0,0,0,0,116,14,0,5,10,12.688,12.165,12.8,59.197,8.679,9.74,7.992,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,1,4.070588235,17,1.364705882,3.529411765,0,2.352941176,1.176470588,11.76470588
deception,5,1,0,0,0,319,88,1,0,4,4,0,0,4,0,4,4,1,7,3,0,10,0,0,10,11,0,0,0,1,11,2,0,0,0,0,5,1,7,0,0,0,0,3,0,3,4,1,0,1,3,0,0,0,0,0,104,4,0,7,10,7.794,7.472,6.8,76.836,5.648,7.252,4.853,3,1,0,0,0,0,4,1,0,3,0,0,4,2,0,1,1,0,3,0,0,0,0,0,1,1,3.625,17.6,1.181818182,4.545454545,4.545454545,3.409090909,1.136363636,11.36363636
deception,8,0,0,0,0,507,142,0,5,0,5,0,0,5,5,0,5,5,13,2,1,16,0,0,16,7,1,0,0,1,22,5,0,0,1,0,12,5,3,0,0,0,0,4,0,5,14,1,4,0,0,0,0,0,1,0,174,14,0,14,15,10.686,10.246,10.4,69.827,7.277,7.88,5.868,3,1,0,0,0,0,4,1,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,2,2,3.570422535,17.75,1.225352113,2.816901408,0.704225352,1.408450704,1.408450704,10.56338028
deception,6,0,0,0,0,377,99,0,1,0,1,2,2,1,1,0,1,1,6,4,1,7,0,0,14,3,3,0,0,3,13,4,0,0,0,0,5,2,7,0,0,0,0,1,0,5,3,3,2,4,2,0,1,0,0,0,129,11,0,6,9,10.864,10.416,10.4,65.387,7.7,8.02,6.384,2,2,0,0,0,0,4,1,0,0,0,0,1,2,0,1,1,0,3,0,1,0,0,0,1,2,3.808080808,16.5,1.303030303,4.04040404,1.01010101,3.03030303,2.02020202,9.090909091
deception,9,0,0,0,0,589,172,0,2,7,9,0,0,9,2,7,9,1,13,3,1,21,0,0,15,11,0,0,0,1,29,2,0,0,0,0,12,1,12,0,0,2,0,6,0,6,16,2,3,1,3,1,1,0,1,0,198,13,0,13,16,9.643,9.245,8.8,78.632,5.968,5.641,4.715,3,1,0,0,0,0,4,0,0,0,0,0,0,2,0,1,1,0,3,0,1,0,0,0,3,3,3.424418605,19.11111111,1.151162791,2.325581395,0,1.744186047,1.744186047,9.302325581
deception,7,0,0,0,0,323,83,0,0,0,0,1,1,0,0,0,0,0,10,1,0,8,0,0,8,7,0,0,0,1,9,7,0,0,0,0,3,0,12,0,0,0,0,1,0,2,1,1,0,3,2,0,0,0,0,0,105,10,0,11,13,9.957,9.547,9.6,60.748,7.093,10.469,6.618,3,2,0,0,0,0,5,0,0,0,0,0,0,1,1,1,1,0,3,0,0,0,0,0,1,1,3.891566265,11.85714286,1.265060241,6.024096386,0,3.614457831,1.204819277,15.6626506
deception,5,0,0,0,0,607,156,2,2,0,2,2,2,2,2,0,2,0,17,6,1,23,0,0,15,11,1,0,0,2,24,6,0,0,0,0,3,1,9,0,0,1,0,5,0,8,6,2,4,3,2,1,0,0,0,1,201,22,0,20,24,14.068,13.488,15.2,55.682,10.958,10.285,11.229,6,1,0,0,0,0,7,1,0,0,0,0,1,2,1,1,1,0,4,0,0,0,0,0,1,1,3.891025641,31.2,1.288461538,4.487179487,0.641025641,2.564102564,0.641025641,15.38461538
deception,8,0,0,0,0,640,177,6,1,8,9,1,1,9,1,8,9,3,18,6,1,22,1,0,19,8,1,1,0,2,38,3,0,0,0,0,6,5,5,2,0,0,0,4,0,7,9,2,2,4,3,0,0,0,0,0,205,10,0,18,26,9.516,9.124,9.6,72.823,7.791,8.164,7.97,2,2,1,0,0,0,5,1,0,0,0,0,1,3,1,2,1,0,6,0,0,0,0,0,3,2,3.615819209,22.125,1.15819209,2.824858757,0.564971751,3.389830508,1.129943503,14.68926554
deception,8,0,0,0,0,410,120,2,3,0,3,0,0,3,3,0,3,0,13,4,1,14,1,1,8,11,1,0,0,2,14,3,0,0,0,0,7,0,11,0,0,0,0,3,0,3,4,2,0,3,5,0,0,0,0,0,131,9,0,14,20,9.188,8.809,8.4,80.275,5.075,7.096,4.541,3,1,0,0,0,0,4,2,0,1,0,0,3,2,0,1,1,0,3,0,0,0,0,0,1,1,3.416666667,15,1.091666667,3.333333333,2.5,2.5,0.833333333,16.66666667
deception,18,0,0,0,0,1118,303,8,6,0,6,2,2,6,6,0,6,3,29,18,3,22,0,1,17,21,1,0,0,0,44,8,1,0,0,0,26,4,17,0,0,0,0,10,0,14,32,6,3,3,1,0,1,0,2,1,369,32,0,30,44,10.746,10.303,10.4,69.609,7.056,8.125,6.357,3,2,0,0,0,0,5,3,0,1,0,0,4,2,1,1,1,0,4,0,1,0,0,0,1,2,3.689768977,16.83333333,1.217821782,1.650165017,1.320132013,1.320132013,0.660066007,14.52145215
deception,6,0,0,0,0,412,113,0,1,0,1,0,0,1,1,0,1,3,9,3,0,13,0,0,14,6,0,3,0,1,20,4,0,0,0,1,6,3,6,0,0,0,0,4,0,4,7,1,2,0,0,0,0,0,0,0,139,11,0,9,13,10.864,10.416,10.8,69.195,7.624,8.217,6.659,2,1,0,0,0,0,3,1,0,2,0,1,4,3,1,2,1,0,6,1,1,1,0,0,1,4,3.646017699,18.83333333,1.230088496,2.654867257,3.539823009,5.309734513,3.539823009,11.50442478
deception,11,0,0,0,0,898,240,1,5,0,5,0,0,5,5,0,5,3,28,7,0,22,1,1,24,19,0,0,0,1,33,7,0,0,0,0,10,3,22,0,0,3,0,8,1,10,19,3,4,0,0,1,0,0,2,0,306,32,0,30,33,12.873,12.342,13.2,59.494,9.501,9.515,8.749,3,1,0,0,0,0,4,2,0,2,0,0,4,2,1,1,1,0,4,1,0,0,0,0,1,2,3.741666667,21.81818182,1.275,1.666666667,1.666666667,1.666666667,0.833333333,13.75
deception,6,0,0,0,0,530,146,1,1,0,1,2,2,1,1,0,1,3,17,6,1,15,1,0,12,11,3,0,0,3,21,4,0,0,0,0,11,4,5,0,0,1,0,3,0,9,6,1,0,3,1,1,0,0,1,1,176,14,0,17,19,11.208,10.746,11.2,68.778,8.067,8.375,7.559,2,1,0,0,1,1,4,1,0,0,0,0,1,3,0,1,0,0,4,0,0,0,1,0,0,1,3.630136986,24.33333333,1.205479452,2.739726027,0.684931507,2.739726027,0.684931507,13.01369863
